Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
170	138	VO:0007169	Telomerase Peptide Vaccine GV1001	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: Trp53	22059	Clinical trial	Homo sapiens|Mus musculus	"A synthetic peptide vaccine, containing 16 amino acid residues (611-626) of the human telomerase reverse transcriptase catalytic subunit (hTERT), with potential antineoplastic activity. Telomerase, a reverse transcriptase normally repressed in healthy cells, is overexpressed in most cancer cells and plays a key role in cellular proliferation. Vaccination with tertomotide may activate the immune system to mount a cytotoxic T-lymphocyte (CTL) response against telomerase-expressing cells."	27941629	PubMed:27941629		5101	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5101	https://github.com/vaccineontology/VO/issues/416	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C62756	NCT: https://clinicaltrials.gov/ct2/show/NCT02855892	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
171	157	VO:0007170	UV1 Telomerase Peptide Vaccine	Peptide vaccine	Prostate Cancer	prostate cancer vaccine	VO:0005425	Gene name: TERT	7015	Clinical trial	Homo sapiens	"A synthetic, peptide cancer vaccine directed against the human telomerase reverse transcriptase catalytic subunit (hTERT) with potential immunomodulating activity. Vaccination with the UV1 telomerase peptide may stimulate cytotoxic T-cells to recognize and kill telomerase-expressing cells. Telomerase, a reverse transcriptase normally repressed in healthy cells, is overexpressed in most cancer cells and plays a key role in cellular proliferation."	28391357	PubMed:28391357		5478	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5478			NCT: https://clinicaltrials.gov/ct2/show/NCT01784913	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
172	67	VO:0007171	Recombinant Adenovirus 5 Encoding Tumor Necrosis Factor-related Apoptosis-Inducing Ligand Vaccine	Recombinant vector vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: TNFSF10	8743	Clinical trial	Homo sapiens	"An adenovirus type 5 (Ad5) encoding human tumor necrosis factor-related apoptosis-inducing ligand (TRAIL), with potential apoptosis-inducing and antineoplastic activities. Upon administration of recombinant Ad5 encoding TRAIL, the adenovirus selectively infects tumor cells and expresses TRAIL. The virally expressed TRAIL binds to and activates its receptors TRAIL receptor-1 (TRAIL-R1, death receptor 4, DR4) and TRAIL receptor-2 (TRAIL-R2, death receptor 5, DR5), which subsequently activate caspases and induce apoptosis in TRAIL-R1/R2-expressing tumor cells. The pro-apoptotic cell surface receptors TRAIL-R1 and -R2, members of the TNF receptor family, are overexpressed by a variety of cancer cell types."				5397	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5397		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C116879		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
173	108	VO:0007172	Renal Cell Carcinoma Peptides Vaccine IMA901	Peptide vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: HLA-A|Gene name: HLA-B	3105|3106	Clinical trial	Homo sapiens|Mus musculus	"A multipeptide cancer vaccine targeting renal cell carcinoma with potential immunopotentiating activity. Renal cell carcinoma peptides vaccine IMA901 consists of 10 different synthetic tumor-associated peptide (TUMAP) antigens (9 HLA-class I-binding and 1 HLA class II-binding); endogenously, these TUMAPs are expressed by the majority of renal cell carcinomas. Vaccination with this agent may significantly increase host cytotoxic T-lymphocyte (CTL) immune responses against tumor cells expressing these peptide antigens."	23899354	PubMed:23899354		5013	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5013	https://github.com/vaccineontology/VO/issues/354	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C70968	NCT: https://clinicaltrials.gov/ct2/show/NCT00523159	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
174	109	VO:0007173	Renal Cell Carcinoma/CD40L RNA-Transfected Autologous Dendritic Cell Vaccine AGS-003	Recombinant vector vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: CD40	958	Clinical trial	Homo sapiens	"A cell-based preparation in which autologous, mature dendritic cells (DCs) are electroporated with in vitro transcribed (IVT) RNAs encoding for a synthetic form of T-cell protein CD40 ligand (CD40L) and IVT RNA encoding for autologous tumor-associated antigens (TAAs) derived from patient-specific bladder cell carcinoma (BCC) cells, with potential immunostimulatory and antineoplastic activities. Upon electroporation into autologous DCs, the RNA is translated and processed. BCC-specific antigenic peptides are subsequently presented via major histocompatibility complex (MHC) Class I molecules on the DCs surface. When AGS-003-BLD is reintroduced to the patient, the MHC-presented peptides interact with and activate CD8-positive T cells, which elicits a highly specific cytotoxic T-cell (CTL) response against tumor cells expressing the patient-specific BCC TAAs. The signal cascade initiated by expression of the co-stimulatory molecule CD40L results in the secretion of the inflammatory cytokine IL-12, which further stimulates CTLs."	25901286	PubMed:25901286		5373	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5373		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C129522	NCT: https://clinicaltrials.gov/ct2/show/NCT02170389	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
175	110	VO:0007174	Renal Tumor-Reactive Autologous Peripheral Blood Lymphocyte Vaccine	Recombinant vector vaccine	Renal Cancer	renal cancer vaccine	VO:0005494			Clinical trial	Homo sapiens	Peripheral blood lymphocytes (PBL) harvested from the blood of a renal cancer patient and exposed in vitro to renal tumor-associated antigens (TAA). Introducing these renal tumor-reactive autologous peripheral blood lymphocytes back to the same patient target tumor cells expressing these TAAs and could induce a cytotoxic T-cell-mediated immune response against renal cell cancer.	33408117	PubMed:33408117		5196	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5196		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48816		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
176	168	VO:0007175	VHL-42: 65-76(V74G) Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	"A peptide vaccine consisting of amino acids 65 through 76 derived from the tumor suppressor protein Von Hippel-Lindau (VHL) with a glycine substitution at position 74. As a cancer vaccine, VHL-59: 65-76(V74G) may stimulate a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing this VHL mutant protein."	20109232	PubMed:20109232		5097	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5097		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38122		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
177	169	VO:0007176	VHL-59: 116-128 Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	"A peptide vaccine consisting of amino acids 116 through 128 derived from the tumor suppressor protein Von Hippel-Lindau (VHL) with a frameshift mutation. As a cancer vaccine, VHL-59: 116-128(FrSh116-128) peptide may stimulate a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing this VHL mutant protein."				5172	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5172		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38123		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
178	170	VO:0007177	VHL14 Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	"A peptide vaccine derived from the von Hippel-Lindau (VHL) tumor suppressor protein, a general transcription factor. VHL14 peptide is a point mutation variant of the VHL protein; the mutation is in amino acid position 166. It might be used to elicit or boost cellular immunity to cancers that expressing the von Hippel-Lindau mutation."				5012	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5012		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2741		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
179	171	VO:0007178	VHL16 Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	"A peptide vaccine derived from the von Hippel-Lindau (VHL) tumor suppressor protein, a general transcription factor. VHL16 peptide, also known as S111I, is a point mutation variant of the VHL tumor suppressor protein; the mutation is in amino acid position 111. Vaccination with this agent may stimulate a cytotoxic T-cell response in patients with VHL-associated cancers that express this variant of the VHL tumor suppressor protein."				5333	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5333		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2740		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
180	172	VO:0007179	VHL2 (Y12M) Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	"A peptide vaccine derived from the von Hippel-Lindau (VHL) tumor suppressor protein, a general transcription factor. VHL2 (Y12M) peptide is a point mutation variant (from tyrosine to methionine at amino acid position 12) of the VHL protein. Vaccination with this peptide may stimulate a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing this VHL mutant protein."				5490	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5490		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2824		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
181	175	VO:0007180	Von Hippel-Lindau Peptide Vaccine	Peptide Vaccine	Renal Cancer	renal cancer vaccine	VO:0005494	Gene name: VHL	7428	Clinical trial	Homo sapiens	A cancer vaccine composed of peptides derived from a tumor-associated protein encoded by a mutated Von Hippel-Lindau (VHL) oncogene. VHL peptide vaccine may stimulate a cytotoxic T cell response against tumor cells expressing the VHL tumor-associated protein.	20109232	PubMed:20109232		5127	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5127		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2492	NCT: https://clinicaltrials.gov/ct2/show/NCT00001703	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
182	27	VO:0007181	PAX3/FKHR Peptide Vaccine	Peptide vaccine	Sarcoma Cancer	sarcoma cancer vaccine	VO:0005495	Gene name: PAX3|Gene name: FOXO1|Gene name: VEGFA	5077|2308|7422	Clinical trial	Homo sapiens|Mus musculus	"A synthetic peptide vaccine based on the sequences of a translocation mutation of 2 transcriptional factor genes, PAX3 and FKHR. PAX3/FKHR fusion proteins are frequently found in patients with rhabdomyosarcomas. Vaccination with PAX3/FKHR peptide may stimulate the host immune response to elicit a cytotoxic T-cell response against tumor cells that express this PAX3/FKHR fusion protein."	15838707	PubMed:15838707		5484	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5484	https://github.com/vaccineontology/VO/issues/114	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49023	NCT: https://clinicaltrials.gov/ct2/show/NCT00001564	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
183	65	VO:0007182	RCAS-Akt Vaccine	Recombinant vector vaccine	Sarcoma Cancer	sarcoma cancer vaccine	VO:0005495	Gene name: AKT1	207	Clinical trial	Homo sapiens|Mus musculus	A recombinant retroviral virus derived from SR-A strain of Rous sarcoma virus carrying a constitutively active form of the AKT Gene. The viral vector RCAS harbors a Replication Competent ALV Splice acceptor. This recombinant virus was use in animal model to study gliomagenesis.				5044	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5044	https://github.com/vaccineontology/VO/issues/192	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29908		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
184	66	VO:0007183	RCAS-Ras Vaccine	Recombinant vector vaccine	Sarcoma Cancer	sarcoma cancer vaccine	VO:0005495	Gene name: KRAS	3845	Clinical trial	Homo sapiens	"A recombinant retroviral virus derived from SR-A strain of Rous sarcoma virus carrying a human gene encoding the G12D mutant form of K-Ras. The viral vector, RCAS harbors a Replication Competent ALV Splice acceptor. This recombinant virus was use in animal model to study gliomagenesis."				5500	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5500		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29910		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
185	140	VO:0007184	Telomerase: 540-548 Peptide Vaccine	Peptide vaccine	Brain Cancer;Sarcoma	cancer vaccine	VO:0000177	Gene name: TERT	7015	Clinical trial	Homo sapiens	"A recombinant peptide consisting of the amino acid residues 540 to 548 of the human telomerase reverse transcriptase (hTERT). Telomerase expression has been directly linked to tumor development; its catalytic subunit is expressed in the majority of human cancer cells, but infrequently in normal cells. Vaccination with telomerase:540-548 peptide may stimulate cytotoxic T cells to recognize and kill telomerase-expressing cells."	11536162	PubMed:11536162		5098	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5098		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2640	NCT: https://clinicaltrials.gov/ct2/show/NCT00069940	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
186	1	VO:0007185	(H115D)VHL35 Peptide Vaccine	Subunit	Renal	renal cancer vaccine	VO:0005494			Clinical trial	Homo sapiens	"A peptide vaccine derived from the von Hippel-Lindau (VHL) tumor suppressor protein, a general transcription factor. In (H115D)VHL35 peptide, histidine is substituted for an aspartic acid in position 115. It might be used to elicit or boost cellular immunity to cancers that expressing the von Hippel-Lindau mutation."				5304	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5304	https://github.com/vaccineontology/VO/issues/77			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
187	2	VO:0007186	1(SOCS1)-silenced dendritic cell (DC) Vaccine	Dendritic cell vaccine	Melanoma	melanoma vaccine	VO:0000422			Research	Mus musculus	"To obtain SOCS1-silenced DCs, DCs derived from mouse bone marrow cells ex vivo were induced to differentiation in the presence of granulocyte-macrophage colony-stimulating factor (GM-CSF) and IL-4, and then transduced with Len-SOCS1-shRNA or control Len-GFP lentiviruses. The SOCS1-silenced DCs were loaded by TRP2 peptide to prepare the DC vaccine, which was induced to mature by LPS. The DCs were analyzed by flow cytometry (FCM) for surface expressions of MHCII and CD86 and by real-time PCR for the expressions of SOCS1, IL-10 as well as IL-12p40. B16 or IL-10-silenced B16 (IL-10(-/-);) cells were inoculated into C57BL/6 mice."	https://pubmed.ncbi.nlm.nih.gov/23643168/	PubMed:23643168		4071	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4071	https://github.com/vaccineontology/VO/issues/78			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
188	3	VO:0007187	117-126:FGF-5 Peptide Vaccine	Other	Renal	renal cancer vaccine	VO:0005494			Clinical trial	Homo sapiens	"A fragment of fibroblast growth factor-5 (FGF-5). Originally isolated from a renal cell carcinoma cell line that overexpressed FGF-5, FGF-5:117-126 peptide is recognized by tumor infiltrating cytotoxic T lymphocytes. Overexpressed by several cancer cell types, this peptide is being tested as a potential target for antineoplastic immunotherapies. (NCI04)"				5414	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5414	https://github.com/vaccineontology/VO/issues/79			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
189	4	VO:0007188	12 Melanoma Peptide Vaccine	Other	Melanoma	melanoma vaccine	VO:0000422			Clinical trial	Homo sapiens					5418	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5418	https://github.com/vaccineontology/VO/issues/80			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
190	5	VO:0007189	12MP Vaccine	Multipeptide	Melanoma	melanoma vaccine	VO:0000422			Research	Homo sapiens	2 class I major histocompatibility complex–restricted melanoma peptides	https://pubmed.ncbi.nlm.nih.gov/21690475/	PubMed:21690475		3978	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3978	https://github.com/vaccineontology/VO/issues/81			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
191	6	VO:0007190	"12MP, 12MP/Tet, 12MP/6MHP, or 6MHP Vaccine"	Multipeptide	Melanoma	melanoma vaccine	VO:0000422			Clinical trial	Homo sapiens	"4 treatment groups, vaccinated with 12 MHC class I-restricted melanoma peptides to stimulate CTL (12 MP, group A), plus a tetanus peptide (group B), or a mixture of 6 melanoma helper peptides (6 MHP, group C) to stimulate helper T lymphocytes (HTL), or with 6 melanoma helper peptide (6 MHP) alone (group D), in incomplete Freund's adjuvant plus granulocyte macrophage colony-stimulating factor."	http://www.ncbi.nlm.nih.gov/pubmed/23653149	PubMed:23653149		4070	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=4070	https://github.com/vaccineontology/VO/issues/82			Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He 	
